District,Season,CropCategory,Crop,Year,Extent,Production,Crop_Yield,Production_Lag_1Y,Yield_Lag_1Y,Extent_Lag_1Y,Extent_RollMean_3Y,Extent_RollStd_3Y,Season_Maha,District_TargetEnc,Crop_TargetEnc,CropCategory_TargetEnc,Log_Production
Ampara,Maha,Minor Export,Arecanut,2001,31.0,103.0,3.3225806451612905,166.0,0.8854116514203179,128.0,31.0,0.0,1,1034.1355904949448,1203.4976969298507,6702.653835751213,4.6443908991413725
Ampara,Maha,Minor Export,Arecanut,2002,116.0,83.0,0.7155172413793104,103.0,3.3225806451612905,31.0,73.5,60.10407640085654,1,1034.1355904949448,1203.4976969298507,6702.653835751213,4.430816798843313
Ampara,Maha,Minor Export,Arecanut,2003,33.0,154.0,4.666666666666667,83.0,0.7155172413793104,116.0,60.0,48.507731342539614,1,1034.1355904949448,1203.4976969298507,6702.653835751213,5.043425116919247
Ampara,Maha,Minor Export,Arecanut,2004,128.0,240.0,1.875,154.0,4.666666666666667,33.0,92.33333333333333,51.73329037798904,1,1034.1355904949448,1203.4976969298507,6702.653835751213,5.484796933490655
Ampara,Maha,Minor Export,Arecanut,2005,460.0,358.0,0.7782608695652173,240.0,1.875,128.0,207.0,224.19411232233554,1,1034.1355904949448,1203.4976969298507,6702.653835751213,5.883322388488279
Ampara,Maha,Minor Export,Arecanut,2006,368.0,166.0,0.45108695652173914,358.0,0.7782608695652173,460.0,318.6666666666667,171.40984024650783,1,1034.1355904949448,1203.4976969298507,6702.653835751213,5.117993812416755
Ampara,Maha,Minor Export,Arecanut,2007,207.7,183.9,0.8854116514203179,166.0,0.45108695652173914,368.0,345.23333333333335,127.68149174149453,1,1034.1355904949448,1203.4976969298507,6702.653835751213,5.219815138393079
Ampara,Maha,Minor Export,Arecanut,2008,181.3,177.0,0.9762824048538333,183.9,0.8854116514203179,207.7,252.33333333333334,101.03624762100648,1,1034.1355904949448,1203.4976969298507,6702.653835751213,5.181783550292085
Ampara,Yala,Minor Export,Arecanut,2001,53.0,40.0,0.7547169811320755,138.0,0.7547169811320755,160.0,53.0,0.0,0,1034.1355904949448,1203.4976969298507,6702.653835751213,3.713572066704308
Ampara,Yala,Minor Export,Arecanut,2002,103.0,21.0,0.20388349514563106,40.0,0.7547169811320755,53.0,78.0,35.35533905932738,0,1034.1355904949448,1203.4976969298507,6702.653835751213,3.091042453358316
Ampara,Yala,Minor Export,Arecanut,2003,100.0,36.0,0.36,21.0,0.20388349514563106,103.0,85.33333333333333,28.04163571073081,0,1034.1355904949448,1203.4976969298507,6702.653835751213,3.6109179126442243
Ampara,Yala,Minor Export,Arecanut,2004,160.0,181.0,1.13125,36.0,0.36,100.0,121.0,33.80828300875393,0,1034.1355904949448,1203.4976969298507,6702.653835751213,5.204006687076795
Ampara,Yala,Minor Export,Arecanut,2005,305.0,138.0,0.4524590163934426,181.0,1.13125,160.0,188.33333333333334,105.39607835841583,0,1034.1355904949448,1203.4976969298507,6702.653835751213,4.9344739331306915
Ampara,Yala,Minor Export,Arecanut,2006,178.0,476.0,2.6741573033707864,138.0,0.4524590163934426,305.0,214.33333333333334,79.03374806583155,0,1034.1355904949448,1203.4976969298507,6702.653835751213,6.1675164908883415
Ampara,Yala,Minor Export,Arecanut,2007,169.2,491.0,2.901891252955083,476.0,2.6741573033707864,178.0,217.4,75.99131529326229,0,1034.1355904949448,1203.4976969298507,6702.653835751213,6.198478716492308
Ampara,Yala,Minor Export,Arecanut,2008,142.2,242.0,1.7018284106891703,491.0,2.901891252955083,169.2,163.13333333333333,18.65511547359959,0,1034.1355904949448,1203.4976969298507,6702.653835751213,5.493061443340548
Ampara,Maha,Low Country Vegetable,Ash Plantain,2001,774.0,5809.0,7.5051679586563305,3675.0,13.194617224880382,181.5,774.0,0.0,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.667335849845957
Ampara,Maha,Low Country Vegetable,Ash Plantain,2002,768.0,5780.0,7.526041666666667,5809.0,7.5051679586563305,774.0,771.0,4.242640687119285,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.662331957082475
Ampara,Maha,Low Country Vegetable,Ash Plantain,2003,527.0,3911.0,7.421252371916508,5780.0,7.526041666666667,768.0,689.6666666666666,140.90540562140734,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.271804031154709
Ampara,Maha,Low Country Vegetable,Ash Plantain,2004,625.0,4760.0,7.616,3911.0,7.421252371916508,527.0,640.0,121.19818480488885,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.46821300919452
Ampara,Maha,Low Country Vegetable,Ash Plantain,2005,518.0,3955.0,7.635135135135135,4760.0,7.616,625.0,556.6666666666666,59.34924880176096,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.282988692742602
Ampara,Maha,Low Country Vegetable,Ash Plantain,2006,374.0,2738.0,7.320855614973262,3955.0,7.635135135135135,518.0,505.6666666666667,125.95369519523169,1,1034.1355904949448,1527.619326738699,788.4776533204171,7.915348169263078
Ampara,Maha,Low Country Vegetable,Ash Plantain,2007,395.0,3348.0,8.475949367088608,2738.0,7.320855614973262,374.0,429.0,77.78817390837759,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.116417072794205
Ampara,Maha,Low Country Vegetable,Ash Plantain,2008,390.0,3413.0,8.751282051282052,3348.0,8.475949367088608,395.0,386.3333333333333,10.969655114602727,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.135639903354386
Ampara,Maha,Low Country Vegetable,Ash Plantain,2009,381.0,3628.0,9.52230971128609,3413.0,8.751282051282052,390.0,388.6666666666667,7.094598884597355,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.19671240721307
Ampara,Maha,Low Country Vegetable,Ash Plantain,2010,206.0,3722.0,18.067961165048544,3628.0,9.52230971128609,381.0,325.6666666666667,103.73202655560785,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.222285073872717
Ampara,Maha,Low Country Vegetable,Ash Plantain,2011,175.0,1918.0,10.96,3722.0,18.067961165048544,206.0,254.0,111.07204868912791,1,1034.1355904949448,1527.619326738699,788.4776533204171,7.5595594960077
Ampara,Maha,Low Country Vegetable,Ash Plantain,2012,163.0,2477.0,15.196319018404909,1918.0,10.96,175.0,181.33333333333334,22.188585654190163,1,1034.1355904949448,1527.619326738699,788.4776533204171,7.815207062189088
Ampara,Maha,Low Country Vegetable,Ash Plantain,2013,171.0,2601.0,15.210526315789474,2477.0,15.196319018404909,163.0,169.66666666666666,6.1101009266078155,1,1034.1355904949448,1527.619326738699,788.4776533204171,7.86403565907245
Ampara,Maha,Low Country Vegetable,Ash Plantain,2014,188.0,2861.0,15.21808510638298,2601.0,15.210526315789474,171.0,174.0,12.767145334803716,1,1034.1355904949448,1527.619326738699,788.4776533204171,7.959275960116396
Ampara,Maha,Low Country Vegetable,Ash Plantain,2015,110.0,1454.0,13.218181818181819,2861.0,15.21808510638298,188.0,156.33333333333334,41.016256939576216,1,1034.1355904949448,1527.619326738699,788.4776533204171,7.282761179605593
Ampara,Maha,Low Country Vegetable,Ash Plantain,2016,111.0,1491.0,13.432432432432432,1454.0,13.218181818181819,110.0,136.33333333333334,44.74743940532613,1,1034.1355904949448,1527.619326738699,788.4776533204171,7.307872780763706
Ampara,Maha,Low Country Vegetable,Ash Plantain,2017,76.0,1001.0,13.171052631578947,1491.0,13.432432432432432,111.0,99.0,19.924858845171325,1,1034.1355904949448,1527.619326738699,788.4776533204171,6.90975328164481
Ampara,Maha,Low Country Vegetable,Ash Plantain,2018,135.0,1905.0,14.11111111111111,1001.0,13.171052631578947,76.0,107.33333333333333,29.670411748631576,1,1034.1355904949448,1527.619326738699,788.4776533204171,7.552762084214147
Ampara,Maha,Low Country Vegetable,Ash Plantain,2019,144.0,4155.0,28.854166666666668,1905.0,14.11111111111111,135.0,118.33333333333333,36.936883102575585,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.332308352219117
Ampara,Maha,Low Country Vegetable,Ash Plantain,2020,144.0,4215.0,29.270833333333332,4155.0,28.854166666666668,144.0,141.0,5.196152422706556,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.346642090221199
Ampara,Maha,Low Country Vegetable,Ash Plantain,2021,149.2,4243.3,28.440348525469172,4215.0,29.270833333333332,144.0,145.73333333333332,3.002221399786052,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.353332185265753
Ampara,Maha,Low Country Vegetable,Ash Plantain,2022,138.6,3731.9,26.925685425685426,4243.3,28.440348525469172,149.2,143.9333333333333,5.300314456080244,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.224940690449696
Ampara,Maha,Low Country Vegetable,Ash Plantain,2023,407.6,3827.0,9.389106967615309,3731.9,26.925685425685426,138.6,231.79999999999998,152.33948929939345,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.250097752572845
Ampara,Maha,Low Country Vegetable,Ash Plantain,2024,152.8,4093.1,26.787303664921463,3827.0,9.389106967615309,407.6,233.0,151.37463459906354,1,1034.1355904949448,1527.619326738699,788.4776533204171,8.317302191912178
Ampara,Maha,Low Country Vegetable,Ash Plantain,2025,154.8,1676.4,10.829457364341085,4093.1,26.787303664921463,152.8,238.4,146.5349105162316,1,1034.1355904949448,1527.619326738699,788.4776533204171,7.425000254550311
